source_marker,production_allowed,scraped_at_utc,source_provider,source_site,source_page,source_client_id,make_key,make_name,model_key,model_name,body_type_key,body_name,body_style,model_bodywork,model_type,year_from,year_to,body_power_kw_from,body_power_kw_to,engine_key,selling_name,fuel,power_hp,power_kw,drive,engine_capacity,vehicle_id_code,vehicle_manufacturer,vehicle_body_type,vehicle_power,vehicle_image_url,reference_url,detail_status,detail_error
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004484,E-Tron (GE) 2019 - 2022,SUV,E-Tron,GE,2019,2022,158,158,P00044840102334,e-tron 55 Quattro,Electrical,215,158,All-wheel drive,,P00044840102334,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD129.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004484,E-Tron (GE) 2019 - 2022,SUV,E-Tron,GE,2019,2022,158,158,P00044840105668,e-tron 50 Quattro,Electrical,215,158,All-wheel drive,,P00044840105668,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD129.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004711,E-Tron (GE) 2019 - 2022,Sportback,E-Tron,GE,2019,2022,158,158,P00047110104763,e-tron Sportback 50 Quattro,Electrical,215,158,All-wheel drive,,P00047110104763,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD160.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004711,E-Tron (GE) 2019 - 2022,Sportback,E-Tron,GE,2019,2022,158,158,P00047110105667,e-tron Sportback 55 Quattro,Electrical,215,158,All-wheel drive,,P00047110105667,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD160.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004926,E-Tron GT (FW) 2021 - ,Saloon,E-Tron GT,FW,2021,,140,140,P00049260107782,E-Tron GT Quattro,Electrical,190,140,All-wheel drive,,P00049260107782,Audi,FW,190 PS / 140 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD183.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004844,E-Tron S (GE) 2020 - 2022,SUV,E-Tron S,GE,2020,2022,226,226,P00048440105978,e-tron S,Electrical,307,226,All-wheel drive,,P00048440105978,Audi,GE,307 PS / 226 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD173.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,E-Tron,E-Tron,K0004845,E-Tron S Sportback (GE) 2020 - 2022,Sportback,E-Tron S Sportback,GE,2020,2022,226,226,P00048450105977,e-tron S Sportback Quattro,Electrical,307,226,All-wheel drive,,P00048450105977,Audi,GE,307 PS / 226 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD174.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590108145,Q4 35 e-tron,Electrical,95,70,rear wheel drive,,P00049590108145,Audi,FZ,95 PS / 70 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590108146,Q4 40 e-tron,Electrical,95,70,rear wheel drive,,P00049590108146,Audi,FZ,95 PS / 70 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590108246,Q4 50 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049590108246,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590108522,Q4 45 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049590108522,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590116075,Q4 55 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049590116075,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004959,Q4 e-tron (FZ) 2021 - ,SUV,Q4 e-tron,FZ,2021,,70,89,P00049590116076,Q4 45 e-tron,Electrical,121,89,rear wheel drive,,P00049590116076,Audi,FZ,121 PS / 89 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD184.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740108247,Q4 Sportback 35 e-tron,Electrical,95,70,rear wheel drive,,P00049740108247,Audi,FZ,95 PS / 70 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740108248,Q4 Sportback 40 e-tron,Electrical,95,70,rear wheel drive,,P00049740108248,Audi,FZ,95 PS / 70 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740108249,Q4 Sportback 50 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049740108249,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740109505,Q4 Sportback 45 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049740109505,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740116073,Q4 Sportback 55 e-tron Quattro,Electrical,105,77,All-wheel drive,,P00049740116073,Audi,FZ,105 PS / 77 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q4,Q4,K0004974,Q4 Sportback e-tron (FZ) 2021 - ,SUV,Q4 Sportback e-tron,FZ,2021,,70,89,P00049740116074,Q4 Sportback 45 e-tron,Electrical,121,89,rear wheel drive,,P00049740116074,Audi,FZ,121 PS / 89 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD185.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005180,Q8 e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 e-tron,GE,2022,2025,158,158,P00051800110650,Q8 50 e-tron Quattro,Electrical,215,158,All-wheel drive,,P00051800110650,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD193.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005180,Q8 e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 e-tron,GE,2022,2025,158,158,P00051800110651,Q8 55 e-tron Quattro,Electrical,215,158,All-wheel drive,,P00051800110651,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD193.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005180,Q8 e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 e-tron,GE,2022,2025,158,158,P00051800124421,Q8 e-tron Comp Quattro,Electrical,215,158,All-wheel drive,,P00051800124421,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD193.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005181,Q8 Sportback e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 Sportback e-tron,GE,2022,2025,158,158,P00051810110652,Q8 Sportback 50 e-tron Quattro,Electrical,215,158,All-wheel drive,,P00051810110652,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD194.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005181,Q8 Sportback e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 Sportback e-tron,GE,2022,2025,158,158,P00051810110653,Q8 Sportback 55 e-tron Quattro,Electrical,215,158,All-wheel drive,,P00051810110653,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD194.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005181,Q8 Sportback e-tron (GE/Facelift) 2022 - 2025,SUV,Q8 Sportback e-tron,GE,2022,2025,158,158,P00051810124420,Q8 Sportback e-tron Comp Quattro,Electrical,215,158,All-wheel drive,,P00051810124420,Audi,GE,215 PS / 158 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD194.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005178,SQ8 e-tron (GE/Facelift) 2022 - 2025,SUV,SQ8 e-tron,GE,2022,2025,226,226,P00051780110648,SQ8 e-tron Quattro,Electrical,307,226,All-wheel drive,,P00051780110648,Audi,GE,307 PS / 226 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD195.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,Q8,Q8,K0005179,SQ8 Sportback e-tron (GE/Facelift) 2022 - 2025,SUV,SQ8 Sportback e-tron,GE,2022,2025,226,226,P00051790110649,SQ8 Sportback e-tron Quattro,Electrical,307,226,All-wheel drive,,P00051790110649,Audi,GE,307 PS / 226 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD196.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,Audi,Audi,RS%20E-Tron,RS E-Tron,K0004927,RS E-Tron (FW) 2021 - ,Saloon,RS E-Tron,FW,2021,,142,142,P00049270107783,RS e-tron GT Quattro,Electrical,193,142,All-wheel drive,,P00049270107783,Audi,FW,193 PS / 142 kW,https://images002.bmf-application.com/optimized/PKW/240x120/AUD182.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005039,i4 (G4C) 2021 - 2024,Coupe,i4,G4C,2021,2024,80,105,P00050390108991,i4 eDrive40,Electrical,143,105,rear wheel drive,,P00050390108991,BMW,G4C,143 PS / 105 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW141.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005039,i4 (G4C) 2021 - 2024,Coupe,i4,G4C,2021,2024,80,105,P00050390110491,i4 eDrive35,Electrical,109,80,rear wheel drive,,P00050390110491,BMW,G4C,109 PS / 80 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW141.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005722,i4 (G4C/Facelift) 2024 - ,Coupe,i4,G4C,2024,,80,125,P00057220126719,i4 xDrive40,Electrical,170,125,All-wheel drive,,P00057220126719,BMW,G4C,170 PS / 125 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW199.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005722,i4 (G4C/Facelift) 2024 - ,Coupe,i4,G4C,2024,,80,125,P00057220127425,i4 eDrive35,Electrical,116,85,rear wheel drive,,P00057220127425,BMW,G4C,116 PS / 85 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW199.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005722,i4 (G4C/Facelift) 2024 - ,Coupe,i4,G4C,2024,,80,125,P00057220127840,i4 eDrive35,Electrical,109,80,rear wheel drive,,P00057220127840,BMW,G4C,109 PS / 80 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW199.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005722,i4 (G4C/Facelift) 2024 - ,Coupe,i4,G4C,2024,,80,125,P00057220127841,i4 eDrive40,Electrical,143,105,rear wheel drive,,P00057220127841,BMW,G4C,143 PS / 105 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW199.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005092,i4 M (G4C) 2021 - 2024,Coupe,i4 M,G4C,2021,2024,125,125,P00050920108992,i4 M50 xDrive,Electrical,170,125,All-wheel drive,,P00050920108992,BMW,G4C,170 PS / 125 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW144.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005723,i4 M (G4C/Facelift) 2024 - ,Coupe,i4 M,G4C,2024,,125,145,P00057230127426,i4 M60 xDrive,Electrical,197,145,All-wheel drive,,P00057230127426,BMW,G4C,197 PS / 145 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW200.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i4,i4,K0005723,i4 M (G4C/Facelift) 2024 - ,Coupe,i4 M,G4C,2024,,125,145,P00057230127839,i4 M50 xDrive,Electrical,170,125,All-wheel drive,,P00057230127839,BMW,G4C,170 PS / 125 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW200.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i5,i5,K0005291,i5 (G6E) 2023 - ,Saloon,i5,G6E,2023,,105,105,P00052910111290,i5 eDrive40,Electrical,143,105,rear wheel drive,,P00052910111290,BMW,G6E,143 PS / 105 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW181E.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i5,i5,K0005421,i5 Touring (G6E) 2024 - ,Estate,i5 Touring,G6E,2024,,105,127,P00054210123740,i5 eDrive40 Touring,Electrical,143,105,rear wheel drive,,P00054210123740,BMW,G6E,143 PS / 105 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW192I.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i5,i5,K0005421,i5 Touring (G6E) 2024 - ,Estate,i5 Touring,G6E,2024,,105,127,P00054210126340,i5 xDrive40 Touring,Electrical,173,127,All-wheel drive,,P00054210126340,BMW,G6E,173 PS / 127 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW192I.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
SCRAPED_RONAL_BMF_RESEARCH_ONLY,false,2026-08-03T22:53:31.241Z,BMF Media Information Technology GmbH / ProVis4,RONAL wheel configurator,https://www.ronal-wheels.com/int/configurator-promo,RONAL-ae2f6cc4-64cd-c4ea-33a3-d38c43994ce8,BMW,BMW,i7,i7,K0005147,i7 (G7L) 2022 - 2026,Saloon,i7,G7L,2022,2026,125,135,P00051470110129,i7 xDrive60,Electrical,184,135,All-wheel drive,,P00051470110129,BMW,G7L,184 PS / 135 kW,https://images002.bmf-application.com/optimized/PKW/240x120/BMW156.png,https://www.ronal-wheels.com/int/configurator-promo,ok,
